Number of hops,Packet length,Min,Max, Average
1, 0, 9.0,130.4, 5.74
1, 8, 9.7,123.44, 6.13
1, 16, 10.52,122.13, 6.38
1, 24, 10.98,228.08, 6.76
1, 32, 11.81,123.04, 7.05
1, 40, 12.26,135.68, 7.40
1, 48, 12.81,136.71, 7.64
1, 56, 13.82,137.08, 8.05
1, 64, 14.1,129.33, 8.33
1, 72, 15.1,138.76, 8.66
1, 74, 14.95,132.93, 8.77
2, 0, 19.95,127.47, 11.75
2, 8, 21.97,132.05, 12.55
2, 16, 22.79,133.08, 13.08
2, 24, 24.04,134.85, 13.78
2, 32, 24.99,138.79, 14.38
2, 40, 26.55,140.35, 15.12
2, 48, 27.31,141.08, 15.69
2, 56, 29.23,147.12, 16.46
2, 64, 29.93,147.67, 16.98
2, 72, 32.1,145.05, 17.74
3, 0, 30.33,140.04, 17.62
3, 8, 33.57,139.52, 18.67
3, 16, 34.57,219.72, 19.58
3, 24, 37.47,139.4, 20.62
3, 32, 38.17,145.63, 21.45
3, 40, 40.52,145.81, 22.70
3, 48, 42.14,154.87, 23.51
3, 56, 45.01,144.86, 24.53
3, 64, 46.96,148.56, 25.43
3, 72, 48.37,154.84, 26.58
3, 74, 49.4,154.78, 26.76
4, 0, 40.92,145.2, 25.34
4, 8, 44.64,152.03, 24.95
4, 16, 46.17,149.47, 26.05
4, 24, 49.13,156.34, 27.48
4, 32, 51.97,155.85, 28.62
4, 40, 55.39,160.3, 30.18
4, 48, 56.88,163.23, 31.34
4, 56, 60.63,165.4, 32.64
4, 64, 62.19,175.44, 34.00
4, 72, 66.13,164.64, 35.17
4, 74, 67.41,247.22, 35.70
5, 0, 51.75,230.37, 29.12
5, 8, 56.85,236.35, 31.00
5, 16, 58.22,172.66, 32.67
5, 24, 64.27,77.36, 34.00
5, 32, 64.6,246.94, 35.70
5, 40, 70.86,81.02, 37.27
5, 48, 73.51,178.19, 39.07
5, 56, 76.5,192.68, 40.80
5, 64, 78.85,93.62, 41.90
5, 72, 82.33,190.3, 44.83
5, 74, 84.22,228.6, 44.57
6, 0, 65.06,78.03, 34.59
6, 8, 69.33,85.11, 36.90
6, 16, 75.22,78.61, 38.47
6, 24, 76.41,92.28, 40.89
6, 32, 80.04,91.37, 42.48
6, 40, 84.96,101.31, 44.83
6, 48, 88.16,96.98, 46.43
6, 56, 92.28,103.82, 48.67
6, 64, 95.91,109.16, 50.41
6, 72, 100.22,212.28, 53.45
6, 74, 101.13,207.12, 53.74
