Number of hops,Packet length,Min,Max, Average
1, 0, 4.5,65.2, 5.74
1, 8, 4.85,61.72, 6.13
1, 16, 5.26,61.065, 6.38
1, 24, 5.49,114.04, 6.76
1, 32, 5.905,61.52, 7.05
1, 40, 6.13,67.84, 7.40
1, 48, 6.405,68.355, 7.64
1, 56, 6.91,68.54, 8.05
1, 64, 7.05,64.665, 8.33
1, 72, 7.55,69.38, 8.66
1, 74, 7.475,66.465, 8.77
2, 0, 9.975,63.735, 11.75
2, 8, 10.985,66.025, 12.55
2, 16, 11.395,66.54, 13.08
2, 24, 12.02,67.425, 13.78
2, 32, 12.495,69.395, 14.38
2, 40, 13.275,70.175, 15.12
2, 48, 13.655,70.54, 15.69
2, 56, 14.615,73.56, 16.46
2, 64, 14.965,73.835, 16.98
2, 72, 16.05,72.525, 17.74
3, 0, 15.165,70.02, 17.62
3, 8, 16.785,69.76, 18.67
3, 16, 17.285,109.86, 19.58
3, 24, 18.735,69.7, 20.62
3, 32, 19.085,72.815, 21.45
3, 40, 20.26,72.905, 22.70
3, 48, 21.07,77.435, 23.51
3, 56, 22.505,72.43, 24.53
3, 64, 23.48,74.28, 25.43
3, 72, 24.185,77.42, 26.58
3, 74, 24.7,77.39, 26.76

