Number of hops,Packet length,Min,Max, Average
1, 0, 8.0,22.0, 9.00
1, 8, 8.0,23.0, 9.36
1, 16, 9.0,13.0, 9.53
1, 24, 9.0,23.0, 9.95
1, 24, 8.0,21.0, 9.36
1, 32, 9.0,26.0, 10.22
1, 40, 10.0,25.0, 10.55
1, 48, 10.0,25.0, 10.84
1, 56, 10.0,25.0, 11.22
1, 64, 10.0,24.0, 10.76
1, 74, 10.0,24.0, 11.14
1, 76, 10.0,13.0, 11.20
1, 78, 10.0,27.0, 11.31
1, 79, 10.0,25.0, 11.36
2, 0, 14.0,31.0, 15.98
2, 8, 15.0,46.0, 16.78
2, 16, 15.0,32.0, 17.23
2, 24, 16.0,36.0, 17.91
2, 32, 17.0,33.0, 18.48
2, 40, 17.0,35.0, 19.23
2, 48, 18.0,37.0, 19.89
2, 56, 19.0,36.0, 20.43
2, 64, 18.0,36.0, 19.61
2, 74, 19.0,35.0, 20.48
2, 76, 19.0,50.0, 20.60
2, 78, 19.0,37.0, 20.76
2, 79, 19.0,39.0, 20.85
3, 0, 21.0,38.0, 23.00
3, 8, 22.0,52.0, 24.19
3, 16, 23.0,56.0, 24.81

6, 64, 52.0,144.0, 55.29
6, 79, 55.0,108.0, 58.53
